source,target,category
AGE,age_t1,covariate
PCovar1,PC1,covariate
PCovar2,PC2,covariate
PCovar3,PC3,covariate
PCovar4,PC4,covariate
PCovar5,PC5,covariate
PCovar6,PC6,covariate
PCovar7,PC7,covariate
PCovar8,PC8,covariate
PCovar9,PC9,covariate
PCovar10,PC10,covariate
addictionrf,pgs_addiction_factor,pgs
New_EXTERNALIZING_PRS,pgs_externalizing,pgs
somaticRF,pgs_somatic_factor,pgs
MCQ_mean_KEUR_2024,pgs_delay_discounting,pgs
PremeditationEUR_2024,pgs_lack_premeditation,pgs
PerseveranceEUR_2024,pgs_lack_perseverance,pgs
Positive_UrgencyEUR_2024,pgs_positive_urgency,pgs
Negative_UrgencyEUR_2024,pgs_negative_urgency,pgs
Sensation_SeekingEUR_2024,pgs_sensation_seeking,pgs
EA2022,pgs_educational_attainment,pgs
New_RISK_GWAS_MA_UKB_PRS,pgs_risk_tolerance,pgs
Neuro_MVP_UKB_sumstat_file,pgs_neuroticism,pgs
New_GSCAN_SmkCes_hg19_PRS,pgs_smoking_cessation,pgs
New_GSCAN_SmkInit_hg19_PRS,pgs_smoking_initiation,pgs
New_GSCAN_CigDay_hg19_PRS,pgs_cigarettes_per_day,pgs
New_GSCAN_DrnkWk_hg19_PRS,pgs_drinks_per_week,pgs
New_PAU_Aug2023_EUR_PRS,pgs_problematic_alcohol_use,pgs
New_CUD_Levey2023_EUR_PRS,pgs_cud,pgs
New_OUD_Deak2022_EUR_PRS,pgs_oud,pgs
Mallard_SymptomsMania_2022,pgs_mania,pgs
Mallard_SyMallard_SymptomsPsychosis_2022,pgs_psychosis,pgs
ASD,pgs_asd,pgs
adhd2022,pgs_adhd,pgs
New_Depression_Levey2023_EUR_PRS,pgs_depression,pgs
New_pts_PRS,pgs_ptsd,pgs
New_scz_PRS,pgs_schizophrenia,pgs
New_pgcAN2_PRS,pgs_anorexia,pgs
New_BIP2021_PRS,pgs_bipolar,pgs
cannabis_risks,cannabis_risk,phenotype
